Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JZX9ADKM0JY72KZB3GGVJ3B2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN92D176132FWS2K0Z1,L,SWEATSHIRT-L,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,L,,,,10,15,prod_01JZX9ADKM0JY72KZB3GGVJ3B2,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKM0JY72KZB3GGVJ3B2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN976RG084981ZD9HHQ,M,SWEATSHIRT-M,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,M,,,,10,15,prod_01JZX9ADKM0JY72KZB3GGVJ3B2,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKM0JY72KZB3GGVJ3B2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9DKM6TBVE1VRD9ZPK,XL,SWEATSHIRT-XL,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,XL,,,,10,15,prod_01JZX9ADKM0JY72KZB3GGVJ3B2,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKM0JY72KZB3GGVJ3B2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9FQJGG77ZQ4FBY1Y4,S,SWEATSHIRT-S,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,S,,,,10,15,prod_01JZX9ADKM0JY72KZB3GGVJ3B2,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKM207ACR3YZBFE3PZF,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN966MYWJ8EBVBMM7J5,M,SWEATPANTS-M,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,M,,,,10,15,prod_01JZX9ADKM207ACR3YZBFE3PZF,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKM207ACR3YZBFE3PZF,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9CCZRBVDP9BDX9W52,L,SWEATPANTS-L,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,L,,,,10,15,prod_01JZX9ADKM207ACR3YZBFE3PZF,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKM207ACR3YZBFE3PZF,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9VYWAA3Z65Q1CWJEP,XL,SWEATPANTS-XL,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,XL,,,,10,15,prod_01JZX9ADKM207ACR3YZBFE3PZF,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKM207ACR3YZBFE3PZF,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9XQENE3XTJJP74S7W,S,SWEATPANTS-S,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,S,,,,10,15,prod_01JZX9ADKM207ACR3YZBFE3PZF,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN862E7PQ093T7XCR4Y,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,S,Color,Black,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN88WNDK8MB9QSWZSFN,M / Black,SHIRT-M-BLACK,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,M,Color,Black,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN8CV2EVVJZY85RT3S4,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,S,Color,White,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN8E5N788X5H3M36AM9,XL / Black,SHIRT-XL-BLACK,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,XL,Color,Black,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN8ECB9EDGVDWM7T8DZ,L / Black,SHIRT-L-BLACK,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,L,Color,Black,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN8TA8QRQQSW7Q1M86Q,M / White,SHIRT-M-WHITE,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,M,Color,White,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN8WJ5MGJ0V048ZK86D,XL / White,SHIRT-XL-WHITE,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,XL,Color,White,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMFVYCN0FKM3MN8KFB,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN8YPBPAKNK3TZZTVKN,L / White,SHIRT-L-WHITE,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,L,Color,White,,10,15,prod_01JZX9ADKMFVYCN0FKM3MN8KFB,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMX6ADMHJKBCAB4DXC,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9CJSG8CTC5VCYEJ3B,L,SHORTS-L,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,L,,,,10,15,prod_01JZX9ADKMX6ADMHJKBCAB4DXC,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMX6ADMHJKBCAB4DXC,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9K5BNG729X38Z3P14,XL,SHORTS-XL,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,XL,,,,10,15,prod_01JZX9ADKMX6ADMHJKBCAB4DXC,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMX6ADMHJKBCAB4DXC,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9PTXBJ4QD83XTG4FE,S,SHORTS-S,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,S,,,,10,15,prod_01JZX9ADKMX6ADMHJKBCAB4DXC,2025-07-11T17:42:52.330Z,0,,
prod_01JZX9ADKMX6ADMHJKBCAB4DXC,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-07-11T17:42:52.280Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JZX9ABZMNENTGCZ1YYVB9NWB,2025-07-11T17:42:52.280Z,400,,variant_01JZX9ADN9VADQW1K9YS7WJXA7,M,SHORTS-M,,,,,true,false,,2025-07-11T17:42:52.330Z,,,,,,Size,M,,,,10,15,prod_01JZX9ADKMX6ADMHJKBCAB4DXC,2025-07-11T17:42:52.330Z,0,,